Date,Deluxe Room,Deluxe Pool Access,Premiere Room,Premiere Room Lagoon Access,Family Premiere Room,Deluxe Suite Room,Premiere Suite Room,The Anvaya Suite No Pool,Beach Front Private Suite Room,The Anvaya Suite with Whirpool,The Anvaya Residence,The Anvaya Suite With Pool,The Anvaya Villa
2026-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09,5.0,1.0,32.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
2026-08-10,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2026-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
2026-08-14,5.0,2.0,39.0,1.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,1.0,1.0
2026-08-15,2.0,0.0,39.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0
2026-08-16,0.0,0.0,38.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0
2026-08-17,18.0,4.0,37.0,2.0,0.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,0.0
2026-08-18,2.0,0.0,32.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,0.0,1.0,0.0
2026-08-19,0.0,1.0,32.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,0.0,1.0,0.0
2026-08-20,0.0,0.0,38.0,0.0,2.0,1.0,3.0,2.0,4.0,1.0,0.0,1.0,0.0
2026-08-21,15.0,0.0,39.0,0.0,2.0,1.0,3.0,2.0,4.0,1.0,0.0,1.0,0.0
2026-08-22,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
2026-08-23,4.0,0.0,24.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0
2026-08-24,2.0,0.0,21.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0
2026-08-25,4.0,0.0,38.0,4.0,1.0,2.0,4.0,2.0,4.0,2.0,0.0,1.0,0.0
2026-08-26,1.0,1.0,38.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,0.0,1.0,0.0
2026-08-27,1.0,0.0,38.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,0.0,1.0,1.0
2026-08-28,1.0,0.0,23.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0
2026-08-29,1.0,2.0,38.0,0.0,2.0,2.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0
2026-08-30,30.0,2.0,38.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0
2026-08-31,30.0,2.0,39.0,5.0,3.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0
2026-09-01,19.0,0.0,40.0,5.0,3.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0
2026-09-02,28.0,2.0,40.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0
2026-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0
2026-09-04,2.0,2.0,35.0,3.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0
2026-09-05,2.0,0.0,40.0,2.0,0.0,2.0,4.0,2.0,3.0,1.0,0.0,1.0,1.0
2026-09-06,2.0,0.0,40.0,5.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0
2026-09-07,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0
2026-09-08,0.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0
2026-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2026-09-10,0.0,0.0,5.0,6.0,3.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0
2026-09-11,0.0,0.0,40.0,6.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0
2026-09-12,2.0,1.0,38.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0
2026-09-13,2.0,2.0,38.0,6.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0
2026-09-14,2.0,0.0,38.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0
