Date,DayOfWeek,Season,Occupancy,DemandLevel,Deluxe Remaining Inventory,Deluxe Online Inventory,Deluxe BAR Rate,Premiere Remaining Inventory,Premiere Online Inventory,Premiere BAR Rate,Deluxe Pool Access Remaining Inventory,Deluxe Pool Access Online Inventory,Premiere Room Lagoon Access Remaining Inventory,Premiere Room Lagoon Access Online Inventory,Premiere Suite Room Remaining Inventory,Premiere Suite Room Online Inventory,Deluxe Suite Room Remaining Inventory,Deluxe Suite Room Online Inventory,Family Premiere Room Remaining Inventory,Family Premiere Room Online Inventory,Beach Front Private Suite Room Remaining Inventory,Beach Front Private Suite Room Online Inventory,The Anvaya Suite Whirpool Remaining Inventory,The Anvaya Suite Whirpool Online Inventory,The Anvaya Suite No Pool Remaining Inventory,The Anvaya Suite No Pool Online Inventory,The Anvaya Suite With Pool Remaining Inventory,The Anvaya Suite With Pool Online Inventory,The Anvaya Residence Remaining Inventory,The Anvaya Residence Online Inventory,The Anvaya Villa Remaining Inventory,The Anvaya Villa Online Inventory
2026-08-09,Sunday,High,79.83,Medium,1,1,BAR2,84,30,BAR3,0,0,2,2,2,2,0,0,2,1,1,1,1,0,0,0,1,1,0,0,0,0
2026-08-10,Monday,High,97.55,High,0,0,BAR2,7,5,BAR2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0
2026-08-11,Tuesday,High,99.59,High,-2,0,BAR2,-1,0,BAR2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2026-08-12,Wednesday,High,99.79,High,3,2,BAR2,-10,0,BAR2,4,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
2026-08-13,Thursday,High,98.98,High,3,2,BAR2,-6,0,BAR2,4,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2026-08-14,Friday,High,83.09,Medium,36,10,BAR3,23,10,BAR2,4,2,3,2,2,2,0,0,1,0,4,3,1,0,2,1,1,1,0,0,1,1
2026-08-15,Saturday,High,84.92,Medium,3,2,BAR2,43,10,BAR2,0,0,2,2,1,1,2,2,2,1,7,6,3,2,3,2,1,1,1,1,1,1
2026-08-16,Sunday,High,90.02,High,-8,0,BAR2,24,10,BAR2,1,1,1,1,2,2,1,1,1,0,6,5,2,1,4,3,2,2,0,0,1,1
2026-08-17,Monday,High,74.33,Medium,26,10,BAR2,69,30,BAR3,5,2,4,2,6,5,1,1,0,0,6,5,1,0,4,3,2,2,1,1,1,1
2026-08-18,Tuesday,High,71.89,Medium,2,2,BAR2,105,30,BAR3,0,0,4,2,6,5,3,2,2,1,7,6,2,1,4,3,2,2,0,0,1,1
2026-08-19,Wednesday,High,74.54,Medium,-9,2,BAR2,103,30,BAR3,2,2,4,2,4,2,3,2,2,1,7,6,2,1,4,3,2,2,0,0,1,1
2026-08-20,Thursday,High,92.05,High,1,1,BAR2,14,10,BAR2,0,0,1,1,3,2,1,1,2,1,8,7,1,0,3,2,2,2,0,0,1,1
2026-08-21,Friday,High,86.61,High,21,10,BAR2,18,10,BAR2,0,0,4,2,4,2,1,1,2,1,8,7,1,0,4,3,2,2,0,0,1,1
2026-08-22,Saturday,High,88.43,High,39,10,BAR2,-7,0,BAR2,1,1,6,5,3,2,2,2,-1,0,7,6,1,0,4,3,2,2,0,0,1,1
2026-08-23,Sunday,High,82.15,Medium,12,10,BAR2,52,30,BAR2,0,0,0,0,5,2,4,3,-2,0,7,6,2,1,4,3,2,2,1,1,1,1
2026-08-24,Monday,High,86.81,High,0,0,BAR2,40,10,BAR2,1,1,1,1,5,2,4,3,-2,0,7,6,2,1,4,3,2,2,0,0,1,1
2026-08-25,Tuesday,High,71.8,Medium,-3,2,BAR2,103,30,BAR3,1,1,8,5,8,5,4,3,1,0,8,7,2,1,4,3,2,2,0,0,1,1
2026-08-26,Wednesday,High,79.91,Medium,-33,2,BAR2,88,30,BAR3,4,2,8,5,7,5,5,4,3,2,8,7,2,1,4,3,2,2,0,0,1,1
2026-08-27,Thursday,High,81.13,Medium,-55,2,BAR2,106,30,BAR3,3,2,8,5,7,5,3,2,3,2,8,7,3,2,4,3,2,2,0,0,1,1
