Date,AVR,AVS,ASP,ASW,AVP,BFS,DLK,DLKP,DLS,DLT,DLTP,FAM,PRKG,PRKL,PRKP,PSU,PRTG,PRTL,PRTP,Extra Bed,Total Room,Available,Tentative,Definite,Waiting List,Allotment,Out of Order,Occupancy
"Monday, 26-May-2025",0,0,1,1,0,1,1,0,1,7,0,-1,-20,2,2,7,33,4,5,11,493,44,0,394,1,53,2,80.24
"Tuesday, 27-May-2025",0,2,1,0,0,3,1,1,0,27,1,1,10,0,5,6,63,1,6,3,493,128,0,315,5,49,1,64.02
"Wednesday, 28-May-2025",0,2,1,-1,0,1,1,1,0,6,0,0,-15,-1,3,6,72,0,7,-5,493,83,0,352,2,57,1,71.54
"Thursday, 29-May-2025",0,2,1,1,0,0,1,1,0,10,-3,-1,-25,-3,2,4,74,2,4,-3,493,70,0,384,1,38,1,78.04
"Friday, 30-May-2025",0,2,1,2,0,0,0,1,0,0,-1,0,-11,-4,3,4,85,5,3,1,493,90,0,364,0,38,1,73.98
"Saturday, 31-May-2025",0,2,1,2,0,0,0,1,0,0,-2,0,7,-6,3,3,92,6,2,9,493,111,0,343,1,38,1,69.71
"Sunday, 01-Jun-2025",0,2,1,2,0,-1,0,1,1,3,-1,1,21,-7,3,4,98,8,1,14,493,137,0,301,0,54,1,61.17
"Monday, 02-Jun-2025",0,2,1,2,0,0,0,1,1,2,-1,1,21,-7,4,6,104,8,4,20,493,149,0,287,0,57,0,58.21
"Tuesday, 03-Jun-2025",0,2,1,2,0,1,0,1,1,6,1,1,15,-4,3,6,108,10,4,22,493,158,0,267,0,68,0,54.15
"Wednesday, 04-Jun-2025",0,2,1,2,0,1,0,1,1,18,1,1,-1,-6,4,4,102,10,5,21,493,146,0,275,2,72,0,55.78
"Thursday, 05-Jun-2025",0,2,1,2,0,-2,0,1,1,-10,1,1,-14,-5,4,4,95,10,7,12,493,98,0,335,2,60,0,67.95
"Friday, 06-Jun-2025",0,2,1,2,0,-1,1,-1,2,-9,0,0,-16,0,5,4,93,7,7,10,493,97,0,353,3,43,0,71.6
"Saturday, 07-Jun-2025",0,2,1,2,0,-1,1,-2,2,1,2,0,-8,-8,2,4,93,7,8,8,493,106,0,344,2,43,0,69.77
"Sunday, 08-Jun-2025",0,2,1,2,0,-2,1,-2,2,1,1,1,12,-8,2,4,99,9,11,11,493,136,0,301,1,56,0,61.05
"Monday, 09-Jun-2025",0,2,1,1,0,3,1,-1,2,27,0,2,23,-9,3,5,113,8,11,13,493,192,0,246,0,55,0,49.89
"Tuesday, 10-Jun-2025",0,2,1,1,0,2,1,-1,2,23,-1,1,22,-11,3,5,37,9,11,18,493,107,0,242,0,144,0,49.08
"Wednesday, 11-Jun-2025",0,2,1,1,0,2,0,-1,2,9,-1,1,24,-8,3,5,37,9,11,18,493,97,0,249,3,147,0,50.5
"Thursday, 12-Jun-2025",0,2,1,2,0,3,0,-1,1,3,-2,2,29,-11,3,5,37,9,12,23,493,95,0,264,2,134,0,53.54
"Friday, 13-Jun-2025",0,2,1,2,0,3,0,-1,0,21,-1,2,15,-8,5,6,79,13,13,23,493,152,58,237,0,46,0,59.83
"Saturday, 14-Jun-2025",0,2,1,1,0,3,0,0,0,25,-2,3,-1,-7,7,6,81,13,13,21,493,145,58,241,1,49,0,60.64
"Sunday, 15-Jun-2025",0,2,1,1,0,2,0,-1,0,-35,-1,1,3,-8,8,7,75,13,14,19,493,82,58,306,1,47,0,73.83
"Monday, 16-Jun-2025",0,2,1,0,0,2,0,0,1,-17,0,1,21,-5,7,7,110,14,14,20,493,158,0,282,0,53,0,57.2
"Tuesday, 17-Jun-2025",0,2,1,1,0,2,0,0,1,-27,0,2,10,-3,7,5,94,5,14,19,493,114,1,324,1,54,0,65.92
"Wednesday, 18-Jun-2025",0,2,1,1,0,4,0,0,1,-37,-1,2,9,0,10,4,91,0,14,11,493,101,1,347,4,44,0,70.58
"Thursday, 19-Jun-2025",0,2,1,1,0,1,0,0,1,1,0,1,8,0,10,4,102,0,14,9,493,146,0,299,0,48,0,60.64
"Friday, 20-Jun-2025",0,2,1,1,0,2,0,-1,1,-12,-2,1,-47,0,10,3,104,0,14,9,493,77,0,385,1,31,0,78.09
"Saturday, 21-Jun-2025",0,2,1,1,0,3,0,-1,1,-10,0,2,-77,1,11,1,73,8,14,11,493,30,0,421,0,42,0,85.39
"Sunday, 22-Jun-2025",0,2,1,1,0,2,0,-1,0,-20,1,2,0,2,10,3,76,9,14,15,493,102,1,346,0,44,0,70.38
"Monday, 23-Jun-2025",0,2,1,1,0,2,0,-1,0,12,3,1,8,4,8,5,77,8,14,16,493,145,1,278,0,69,0,56.59
"Tuesday, 24-Jun-2025",0,2,1,2,0,2,0,-2,0,15,3,1,33,5,3,5,106,14,14,20,493,204,1,228,4,60,0,46.45
"Wednesday, 25-Jun-2025",0,2,0,1,0,2,0,-2,1,11,2,0,-15,5,4,5,90,14,14,23,493,134,1,302,1,56,0,61.46
"Thursday, 26-Jun-2025",0,2,0,0,0,2,0,-2,1,-6,4,0,-28,-3,5,5,90,13,14,23,493,97,33,293,2,70,0,66.12
"Friday, 27-Jun-2025",0,2,0,0,0,2,0,-2,1,-2,2,0,-9,-2,9,3,88,13,14,19,493,119,33,291,0,50,0,65.72
"Saturday, 28-Jun-2025",0,2,1,0,0,2,0,-2,1,-3,3,1,39,0,10,3,106,13,14,20,493,190,32,208,0,63,0,48.68
"Sunday, 29-Jun-2025",0,2,1,1,0,2,0,-1,1,30,2,0,40,0,6,3,-39,14,13,17,493,75,0,187,0,231,0,37.93
"Monday, 30-Jun-2025",0,2,1,1,0,4,0,0,1,31,3,1,41,0,6,0,-39,14,13,16,493,79,7,170,0,237,0,35.9
"Tuesday, 01-Jul-2025",0,2,1,1,0,4,1,0,1,37,1,1,40,-1,8,0,-39,14,13,17,493,84,7,174,0,228,0,36.71
"Wednesday, 02-Jul-2025",0,2,1,2,0,4,1,-1,1,32,-3,1,42,-1,8,5,-45,14,13,16,493,76,7,187,0,223,0,39.35
"Thursday, 03-Jul-2025",0,2,1,2,0,2,1,-1,1,34,1,1,40,1,6,3,87,15,14,17,493,210,7,227,0,49,0,47.46
"Friday, 04-Jul-2025",0,2,1,2,0,2,1,-1,1,29,-2,0,41,-6,6,3,93,11,14,15,493,197,0,245,0,51,0,49.69
"Saturday, 05-Jul-2025",0,2,1,2,0,4,1,-2,0,20,2,0,43,-6,5,5,115,9,14,16,493,215,0,225,0,53,0,45.63
"Sunday, 06-Jul-2025",0,2,1,2,0,4,1,-2,0,40,2,0,38,-11,6,4,113,11,14,10,493,225,0,211,0,57,0,42.79
"Monday, 07-Jul-2025",0,2,1,2,0,3,1,-3,0,-14,2,1,26,-6,7,4,96,12,14,17,493,148,31,250,5,64,0,56.99
"Tuesday, 08-Jul-2025",0,2,1,2,0,0,1,-3,0,-49,-2,0,26,-6,5,5,94,12,14,16,493,102,31,314,4,46,0,69.97
"Wednesday, 09-Jul-2025",0,2,1,2,0,1,1,-3,0,-44,0,0,26,-10,6,2,16,14,14,12,493,28,30,315,4,120,0,69.97
"Thursday, 10-Jul-2025",0,2,1,2,0,3,1,-3,0,-52,3,0,34,-8,6,2,7,14,14,16,493,26,30,294,4,143,0,65.72
"Friday, 11-Jul-2025",0,2,1,2,0,3,1,-3,2,-33,5,0,34,-9,11,2,8,14,14,16,493,54,18,274,2,147,0,59.22
"Saturday, 12-Jul-2025",0,2,1,2,0,4,1,-3,2,-18,3,1,40,-8,9,2,101,13,14,13,493,166,63,213,2,51,0,55.98
"Sunday, 13-Jul-2025",0,2,1,2,0,4,1,-3,2,-1,5,1,41,-1,9,3,100,13,14,12,493,193,62,190,3,48,0,51.11
"Monday, 14-Jul-2025",0,2,1,2,0,4,1,-3,2,-6,6,1,40,-6,7,2,101,13,14,14,493,181,62,174,3,76,0,47.87
"Tuesday, 15-Jul-2025",0,2,1,2,0,4,1,-1,2,49,7,1,41,-7,8,4,81,13,14,11,493,222,21,172,1,78,0,39.14
"Wednesday, 16-Jul-2025",0,4,2,4,0,8,1,-1,2,-1,7,1,-14,-10,-4,9,-12,13,0,10,493,9,272,212,1,0,0,98.17
"Thursday, 17-Jul-2025",0,4,2,4,0,8,1,0,2,-13,5,1,-7,-11,-5,8,-19,13,-1,11,493,-8,251,250,1,0,0,101.62
"Friday, 18-Jul-2025",0,4,2,4,0,8,1,0,3,-21,5,1,-17,-11,-3,8,-19,15,-1,11,493,-21,272,242,1,0,0,104.25
"Saturday, 19-Jul-2025",0,2,1,2,0,4,1,0,0,44,3,0,29,-2,8,4,75,15,13,15,493,199,1,215,1,78,0,43.81
"Sunday, 20-Jul-2025",0,2,1,2,0,4,1,0,0,56,6,0,27,0,9,6,113,15,13,16,493,255,1,158,0,79,0,32.25
"Monday, 21-Jul-2025",0,2,1,2,0,4,1,1,0,51,7,0,47,0,9,6,112,14,13,17,493,270,13,137,0,73,0,30.42
"Tuesday, 22-Jul-2025",0,2,1,2,0,4,1,1,0,45,6,0,46,0,7,6,111,14,11,18,493,257,13,150,0,73,0,33.06
"Wednesday, 23-Jul-2025",0,2,1,2,0,4,1,1,1,36,6,0,51,1,9,6,97,14,12,18,493,244,27,144,1,78,0,34.68
"Thursday, 24-Jul-2025",0,2,1,2,0,4,1,1,1,17,3,0,55,1,10,6,101,15,13,21,493,233,28,141,1,91,0,34.27
"Friday, 25-Jul-2025",0,2,1,2,0,4,1,1,1,41,0,0,60,1,9,6,79,14,12,18,493,234,15,147,1,97,0,32.86
"Saturday, 26-Jul-2025",0,2,1,2,0,4,1,1,1,41,-1,1,63,0,10,6,94,14,12,19,493,252,0,146,0,95,0,29.61
"Sunday, 27-Jul-2025",0,2,1,2,0,4,1,1,1,42,1,2,60,1,11,6,119,15,12,22,493,281,0,105,0,107,0,21.29
"Monday, 28-Jul-2025",0,2,1,2,0,4,1,1,0,56,3,2,60,1,10,6,119,15,12,22,493,295,0,104,0,94,0,21.09
"Tuesday, 29-Jul-2025",0,2,1,2,0,4,1,0,0,51,3,2,63,2,10,6,119,14,12,23,493,292,0,113,0,88,0,22.92
"Wednesday, 30-Jul-2025",0,2,1,2,0,4,1,0,1,18,2,1,61,3,8,5,119,14,12,27,493,254,0,167,1,72,0,33.87
"Thursday, 31-Jul-2025",0,2,1,2,0,4,1,0,1,10,2,1,58,2,8,4,119,14,13,25,493,242,0,168,1,83,0,34.07
"Friday, 01-Aug-2025",0,2,1,2,0,4,1,1,0,16,5,1,58,1,7,4,119,14,14,25,493,250,0,151,1,92,0,30.62
"Saturday, 02-Aug-2025",0,2,1,2,0,4,1,1,0,-5,5,2,62,1,6,5,101,14,14,28,493,216,0,169,0,108,0,34.27
"Sunday, 03-Aug-2025",0,2,1,2,0,4,1,1,1,-38,4,1,53,-1,6,6,73,14,14,24,493,144,50,213,0,86,0,53.34
"Monday, 04-Aug-2025",0,2,1,2,0,4,1,1,1,-31,5,2,52,-3,6,6,73,15,14,23,493,151,50,216,0,76,0,53.95
"Tuesday, 05-Aug-2025",0,2,1,2,0,4,0,1,1,-44,5,2,50,-2,7,6,66,15,14,20,493,130,50,237,0,76,0,58.21
"Wednesday, 06-Aug-2025",0,1,1,2,0,4,0,1,1,-27,2,2,49,-2,8,6,106,14,14,20,493,182,50,164,1,97,0,43.4
"Thursday, 07-Aug-2025",0,1,1,2,0,4,0,1,1,-66,-3,2,47,-2,8,4,106,14,14,20,493,134,100,181,2,78,0,56.99
"Friday, 08-Aug-2025",0,1,1,2,0,4,1,1,1,-40,1,2,50,0,8,3,105,14,14,22,493,168,100,149,0,76,0,50.5
"Saturday, 09-Aug-2025",1,1,1,2,0,4,1,0,1,-19,-1,2,56,-3,10,2,115,10,14,23,493,197,51,139,0,106,0,38.53
